,check_1,check_2,title,year,author1_surname,author1_givenname,author2_surname,author2_givenname,gender_author1,gender_author2,type,country,wordcount,language,translated,adaptation (read comment),horror,detective,sci-fi,fantasy,romantic,gothic,historical,feminist fiction,mystery,adventure,tragedy,children,regency,manners,philosophical,coming-of-age,filename
nsg57,scw222,lcc82,"Writings in the United Amateur, 1915 - 1922",1922,Lovecraft,Howard,,,Male,,Short Stories,United States,97974,English,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Lovecraft_WritingsintheUnitedAmateur1915-1922.txt
fhh26,gs542,tj256,Whose Body?,1923,Sayers,Dorothy L.,N/A,N/A,Female,N/A,Novel,United Kingdom,58706,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sayres_WhoseBody.txt
cl2264,,,Voodoo Planet,1959,Norton,Andre,N/A,N/A,Female,N/A,Novel,United States,23434,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Norton_VoodooPlanet.txt
ehh52,sjr255,kg428,"Varney the Vampire; Or, the Feast of Blood by Prest and Rymer",1845,Rymer,James Malcolm,Prest,Thomas Peckett,Male,Male,Novel,United Kingdom,327917,English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Prest_Rhymer_VarneyTheVampire.txt
dgr73,jlp367,kg428,Uncle Tom's Cabin,1852,Stowe,Harriet Beecher,,,Female,,Novel,United States,"182,260",English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Stowe_UncleTom_sCabin.txt
fhh26,gs542,tj256,Twenty Thousand Leagues Under the Sea,1870,Verne,Jules,N/A,N/A,Male,N/A,Novel,France,142153,English,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Verne_TwentyThousandLeagues.txt
vs339,thh55,,To Kill A Mockingbird,1960,Lee,Harper,N/A,N/A,Female,N/A,Novel,United States,"57,766",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lee_ToKillAMockingbird.txt
jc2739,,,This Side of Paradise,1920,Fitzgerald,F. Scott,,,Male,,Novel,United States,"80,475",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fitzgerald_ThisSideOfParadise.txt
sp2377,ejs345,,The Youngest Girl in the School,1901,Sharp,Evelyn,,,Female,,Novel,England,80531,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Sharp_TheYoungestGirl.txt
qjt3,jmt348,emg223,The Wonderful Wizard of Oz,1899,Baum,Frank,N/A,N/A,Male,N/A,Novel,United States,39647,English,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,wizard_of_oz.txt
lrs263,sh785,hz542,The Wisdom of Father Brown,1914,Chesterton,Gilbert Keith,,,Male,,Novel,United Kingdom,72504,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Chesterton_TheWisdomOfFatherBrown.txt
yw783,mdn53,le94,The Voyage Out,1915,Woolf,Virginia,,,Female,,Novel,United Kingdom,"136,287",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Woolf_TheVoyageOut.txt
tr333,sjs457,sl2324,The Valley of Fear,1915,Doyle,Arthur Conan,,,Male,,Novel,United Kingdom,58873,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doyle_TheValleyOfFear.txt
lc743,sjr255,srs366,The Uninhabited House,1883,Riddell,Charlotte,,,Female,,Novel,United Kingdom,"52,446",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Riddell_The_Uninhabited_House.txt
wms87,ehh52,lc743,The Turn of the Screw,1898,James,Henry,N/A,N/A,Male,N/A,Novella,United States,"42,869",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,turn_of_the_screw_james.txt
bkc52,kwy3,ss3697,The Trial,1925,Kafka,Franz,N/A,N/A,Male,N/A,Novel,Czech Republic,84172,German,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Kafka_The_Trial.txt
nss97,sp2377,crs338,The Time Traders,1958,Norton,Andre,,,Female,,Novel,United States,64366,English,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The_Time_Traders_AN.txt
ja532,yk499,kwy3,The Three Imposters,1895,Machen,Arthur,N/A,N/A,Male,N/A,Novel,United Kingdom,"58,749",English,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Machen_TheThreeImposters.txt
cl2264,jc2739,,The Thing Beyond Reason,1926,Sanxay Holding,Elisabeth,N/A,N/A,Female,N/A,Novel,United States,"43,976",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SanxayHolding_TheThingBeyondReason.txt
wms87,ehh52,lc743,The Strange Visitation,1904,Corelli,Marie,N/A,N/A,Female,N/A,Novel,United Kingdom,"28,113",English,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,strange_visitation_corelli.txt
ejs345,,,The Story Girl,1911,Montgomery,Lucy Maud,,,Female,,Novel,Canada,87226,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Montgomery_TheStoryGirl.txt
thh55,,gc386,The Song of the Lark,1915,Cather,Willa,,,Female,,Novel,United States,151237,English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,cather_songofthelark.txt
yy596,st848,gar234,The Sign of Four,2000,Doyle,Arthur,N/A,N/A,male,N/A,Novel,United States,43135,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doyle_TheSignoftheFour.txt
cac469,ja532,ey89,The Shrieking Pit,1919,Rees,Arthur,,,Male,,Novel,Australia,68500,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rees_ShriekingPit.txt
thh55,aj656,gc386,The Secret of the Old Clock,1930,Keene,Carolyn,,,Female,,Novel,United States,35207,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,keene_secretoftheoldclock.txt
avb37,ss3697,yw783,The Secret of the Night,1913,Leroux,Gaston,,,Male,,Novel,France,96726,English,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leroux_Secret_Night.txt
hz542,nsg57,bkc52,The Secret of Chimneys,1925,Christie,Agatha,,,Female,,Novel,United Kingdom,77464,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Christie_TheSecretOfChimneys.txt
crs338,,,The Secret Agent,1907,Conrad,Joseph,,,Male,,Novel,United Kingdom,"511,266",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,conrad_thesecretagent.txt
laf229,hk627,yy596,The Secret Adversary,1922,Christie,Agatha,N/A,N/A,Female,N/A,Novel,England,"74,446",English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Christie_TheSecretAdversary.txt
gar234,lqz4,eg474,The Scottish Chiefs,1809,Porter,Jane,,,Female,,Novel,United Kingdom,"286,539",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The_Scottish_Chiefs.txt
ejs345,aaa429,,The Riddle of the Frozen Flame,1920,Hanshew,Mary,Hanshew,Thomas,Female,Male,Novel,United States,63606,English,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hanshew_TheRiddleOfTheFrozenFlame.txt
sh785,sc2538,sl2324,The Return of Sherlock Holmes,1905,Doyle,Arthur Conan,,,Male,,Novel,United Kingdom,"112,707",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the_return_of_sherlock_holmes.txt
yw783,mdn53,le94,The Red House Mystery,1922,Milne,Alan Alexander,,,Male,,Novel,United Kingdom,"60,099",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Milne_TheRedHouseMystery.txt
nca28,tl566,stw43,The Planet Savers,1958,Bradley,Marion Zimmer,,,Female,,Novel,United States,,English,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Bradley_ThePlanetSavers.txt
aac64,lrs263,stw43,The Picture of Dorian Gray,1890,Wilde,Oscar,,,Male,,Novel,Ireland,79151,English,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,wilde-the-picture-of-dorian-gray.txt
gs542,qjt3,sjs457,The Phantom of the Opera,1909,Leroux,Gaston,,,Male,,Novel,France,82786,French,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leroux_ThePhantomoftheOpera.txt
hl2423,,,The Paradise Mystery,1921,Fletcher,Joseph Smith,N/A,N/A,Male,N/A,Novel,United States,"76,893",English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,the-paradise-mystery.txt
aac64,lrs263,stw43,The Old Man in the Corner,1908,Orczy,Baroness Emmuska,,,Female,,Short Stories,Hungary,70217,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,orczy-the-old-man-in-the-corner.txt
mab558,itb23,ejs337,The Night Land,1912,Hodgson,William Hope,,,Male,,Novel,United Kingdon,"197,199",English,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hodgson_TheNightLand.txt
itb23,lc743,srs366,The Narrative of Sojourner Truth,1850,Gilbert,Olive,Truth,Sojourner,Female,Female,Novel,United States,"35,138",English,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gilbert_SojournerTruth.txt
cl922,lqz4,gs542,The Mystery of the Hasty Arrow,1917,Green,Anna Katharine,,,Female,,Novel,United States,92802,English,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Green_TheMysteryOfTheHastyArrow.txt
mab583,,,The Mystery of Orcival,1867,Gaboriau,Emile,,,Male,,Novel,France,"104,610",French,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Gaboriau_Mystery_of_Orcival.txt
